Price,dia,tempMedia,tempMax,tempMin,humedadMedia,humedadMax,humedadMin,velViento,dirViento,velVientoMax,dirVientoVelMax,radiacion,precipitacion,Dia,Mes,Año
51,235.0,24.11,27.75,20.72,73.2,83.5,39.7,0.584,200.8,3.332,264.0,25.88,0.0,22,8,2020
55,237.0,26.3,29.48,24.1,75.7,82.3,63.34,0.536,204.9,2.95,129.7,20.95,0.0,24,8,2020
75,238.0,25.64,29.41,22.51,75.4,84.7,62.94,0.591,232.4,2.185,183.3,24.97,0.0,25,8,2020
61,239.0,25.19,29.74,21.25,73.5,82.5,63.54,0.8190000000000001,280.0,3.773,215.6,24.01,0.0,26,8,2020
77,240.0,24.88,28.94,21.52,71.8,85.9,49.63,0.961,270.3,3.655,224.3,24.09,0.0,27,8,2020
83,241.0,24.26,28.28,20.25,70.3,78.0,57.98,1.372,284.7,6.782,254.2,23.99,0.0,28,8,2020
92,242.0,21.97,24.25,18.52,63.0,72.5,52.56,3.59,259.7,10.06,250.0,24.86,0.0,29,8,2020
104,244.0,23.35,27.16,20.32,61.08,74.0,48.91,1.279,85.6,5.194,126.4,24.74,0.0,31,8,2020
122,245.0,22.14,25.97,19.38,64.18,77.2,50.63,0.639,296.8,2.773,262.5,13.07,0.0,1,9,2020
127,246.0,23.2,27.28,19.92,65.14,73.9,50.97,0.866,324.4,3.283,320.4,22.83,0.0,2,9,2020
117,247.0,24.22,27.89,20.05,61.95,73.3,46.22,1.288,72.1,5.263,121.7,23.98,0.0,3,9,2020
112,248.0,24.47,30.21,19.32,56.64,76.3,27.81,1.466,112.2,5.282,161.9,24.04,0.0,4,9,2020
119,249.0,23.36,27.55,20.52,69.53,77.6,54.94,0.651,266.7,2.754,178.1,20.04,0.0,5,9,2020
121,251.0,23.66,27.41,20.18,69.01,76.7,58.89,0.767,304.6,4.087,114.9,22.2,0.0,7,9,2020
123,252.0,24.66,28.56,20.32,58.01,69.98,41.15,1.548,100.8,5.37,105.5,18.83,0.0,8,9,2020
128,253.0,22.68,26.62,19.92,62.96,74.5,48.77,1.054,343.3,3.616,145.8,22.67,0.0,9,9,2020
123,254.0,23.12,27.15,19.98,64.41,74.6,54.55,0.584,277.1,3.077,348.7,22.64,0.0,10,9,2020
126,255.0,23.71,27.88,19.72,59.95,72.2,40.17,1.029,38.22,3.842,164.3,21.89,0.0,11,9,2020
123,256.0,26.92,31.95,21.97,40.86,55.84,29.21,1.816,58.95,6.135,117.8,21.97,0.0,12,9,2020
117,258.0,24.98,30.29,21.25,60.0,81.4,34.42,1.102,244.3,7.46,286.8,15.71,0.0,14,9,2020
111,259.0,24.31,28.69,21.32,66.93,79.6,50.21,0.8190000000000001,293.2,3.979,266.1,21.11,0.0,15,9,2020
93,260.0,23.8,26.95,20.78,72.6,81.9,62.39,0.858,210.0,2.94,159.8,18.44,0.0,16,9,2020
88,261.0,25.25,29.48,21.57,72.0,85.1,36.02,1.284,158.7,7.41,245.4,15.22,1.8,17,9,2020
83,262.0,22.77,27.97,20.12,72.3,84.0,53.23,1.196,329.6,5.361,333.6,9.73,15.8,18,9,2020
105,263.0,22.77,25.32,19.32,62.64,74.7,33.49,2.551,274.6,8.28,256.7,21.36,0.0,19,9,2020
108,265.0,22.22,26.42,18.99,72.2,83.1,57.64,0.682,267.0,3.812,265.4,19.02,0.0,21,9,2020
97,266.0,21.96,26.16,18.46,74.7,85.6,54.85,0.725,266.7,2.94,256.9,18.82,0.0,22,9,2020
89,267.0,22.67,27.16,20.12,71.1,83.9,51.09,1.693,259.8,6.615,259.5,16.02,0.0,23,9,2020
83,268.0,24.6,28.63,20.32,60.58,76.1,36.02,1.475,241.9,6.194,249.7,18.57,0.0,24,9,2020
69,269.0,24.07,26.77,19.85,50.07,73.4,28.48,3.767,261.5,11.2,282.1,20.54,0.0,25,9,2020
66,270.0,20.88,24.76,16.26,60.16,79.1,43.04,1.493,282.1,5.949,267.2,20.54,0.0,26,9,2020
61,272.0,20.67,24.49,17.79,59.9,78.4,39.97,0.89,16.55,3.714,0.947,20.39,0.0,28,9,2020
63,273.0,21.44,25.76,18.59,60.73,82.1,34.56,1.17,277.1,4.116,164.9,19.83,0.0,29,9,2020
63,273.0,21.44,25.76,18.59,60.73,82.1,34.56,1.17,277.1,4.116,164.9,19.83,0.0,29,9,2020
63,274.0,20.96,25.02,18.39,74.4,85.0,63.02,1.0,261.6,3.606,237.3,15.82,0.0,30,9,2020
